"client_id","gender","age","membership_duration","visit_count","fitness_category_count","total_visit_cost","fitness_category_crossfit","fitness_category_goboxing","fitness_category_АКАДЕМИЯ_ИЛЬИНА","fitness_category_ВОСТОЧНЫЕ_ЕДИНОБОРСТВА","fitness_category_ГРУППОВЫЕ_ПРОГРАММЫ","fitness_category_ДЕТСКИЙ_КЛУБ","fitness_category_ТРЕНАЖЕРНЫЙ_ЗАЛ","fitness_category_СТУДИЯ_ЙОГИ_ШАКТИ","fitness_category_ВОДНЫЕ_ПРОГРАММЫ"
333,"0","28","365.2500000000000000","60","3","48571000.00",0,1,0,0,0,0,1,0,1
334,"0","37","365.2500000000000000","0","2","0",0,0,0,0,0,0,0,0,0
335,"0","35","1526.0000000000000000","17","1","16903100.00",0,0,0,0,0,0,1,0,0
337,"1","25","365.2500000000000000","132","4","50127000.00",1,0,0,0,1,0,1,1,0
338,"1","35","328.0000000000000000","92","4","53947650.00",0,1,0,0,1,0,1,1,0
339,"0","9","1224.7500000000000000","20","2","2214000.00",0,0,0,0,0,1,0,0,1
340,"1","37","1043.5000000000000000","104","4","35206600.00",0,0,0,0,1,0,1,1,1
341,"1","36","92.0000000000000000","69","3","26052100.00",0,0,0,0,1,0,1,1,0
342,"0","26","343.0000000000000000","52","2","57385900.00",0,1,0,0,0,0,1,0,0
345,"0","28","371.2500000000000000","93","3","68421650.00",0,1,0,0,1,0,1,0,0
349,"0","56","349.0000000000000000","44","2","48557300.00",0,1,0,0,0,0,1,0,0
